Contents_ID,Use,Contents_name,Subcategory_name,시군,구명,도로명주소,지번주소,키워드,다국어,경도,위도,공간객체타입,라인색상,라인패턴,라인두께,전화번호,웹URL,동영상웹링크URL,음성파일웹링크URL,사진정보1,사진정보2,사진정보3,사진정보4,사진정보5,유형,개방시간,소재지용도,변기현황,장애인화장실,기타설비
restsa10_0024,Y,노들역 화장실(9호선),정시,,동작구,노량진로 지하238,동작구 본동,,KOR,126.9530458,37.51277618,1,#0000FF,L,0,02-901-0918,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨13"
restsa10_0023,Y,9호선노량진역 화장실(B1 외측),정시,,동작구,노량진로 지하130,동작구 노량진동,,KOR,126.9408088,37.51357144,1,#0000FF,L,0,02-901-0917,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨7"
restsa10_0022,Y,9호선노량진역 화장실(B1 우),정시,,동작구,노량진로 지하130,동작구 노량진동,,KOR,126.9408088,37.51357144,1,#0000FF,L,0,02-901-0917,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨8"
restsa10_0021,Y,9호선노량진역 화장실(B1 좌),정시,,동작구,노량진로 지하130,동작구 노량진동,,KOR,126.9408088,37.51357144,1,#0000FF,L,0,02-901-0917,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨8"
restsa10_0020,Y,샛강역 화장실(9호선),정시,,영등포구,의사당대로 지하166,영등포구 여의도동,,KOR,126.9290611,37.51662552,1,#0000FF,L,0,02-901-0916,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨13"
restsa10_0019,Y,9호선여의도역 화장실(외부),정시,,영등포구,의사당대로 지하101,영등포구 여의도동,,KOR,126.9239523,37.52190357,1,#0000FF,L,0,02-901-0915,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨13"
restsa10_0018,Y,9호선여의도역 화장실(내부),정시,,영등포구,의사당대로 지하101,영등포구 여의도동,,KOR,126.9239523,37.52190357,1,#0000FF,L,0,02-901-0915,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨12"
restsa10_0017,Y,9호선국회의사당역 화장실(외부),정시,,영등포구,국회대로 지하758,영등포구 여의도동,,KOR,126.9178671,37.52806239,1,#0000FF,L,0,02-901-0914,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2, 비상벨14"
restsa10_0016,Y,9호선국회의사당역 화장실(내부),정시,,영등포구,국회대로 지하758,영등포구 여의도동,,KOR,126.9178671,37.52806239,1,#0000FF,L,0,02-901-0914,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2, 비상벨14"
restsa10_0015,Y,9호선당산역 화장실(B2층),정시,,영등포구,양평로 지하40,영등포구 여의도동,,KOR,126.9021537,37.53373704,1,#0000FF,L,0,02-901-0913,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2, 비상벨13"
restsa10_0014,Y,9호선당산역 화장실(B1층),정시,,영등포구,양평로 지하40,영등포구 여의도동,,KOR,126.9021537,37.53373704,1,#0000FF,L,0,02-901-0913,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2, 비상벨13"
restsa10_0013,Y,선유도역 화장실(9호선),정시,,영등포구,양평로 지하124,영등포구 당산동,,KOR,126.8934023,37.53812775,1,#0000FF,L,0,02-901-0912,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2, 비상벨13"
restsa10_0012,Y,신목동역 화장실(9호선),정시,,양천구,목동중앙로 지하217,양천구 양평동,,KOR,126.8827355,37.54448774,1,#0000FF,L,0,02-901-0911,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2, 비상벨13"
restsa10_0011,Y,염창역 화장실(9호선),정시,,강서구,공항대로 지하631,강서구 목동,,KOR,126.8749892,37.54705687,1,#0000FF,L,0,02-901-0910,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2, 비상벨13"
restsa10_0010,Y,등촌역 화장실(9호선),정시,,강서구,공항대로 지하529,강서구 염창동,,KOR,126.8649339,37.5511146,1,#0000FF,L,0,02-901-0909,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2, 비상벨13"
restsa10_0009,Y,증미역 화장실(9호선),정시,,강서구,양천로 지하560,강서구 등촌동,,KOR,126.8612339,37.55771688,1,#0000FF,L,0,02-901-0908,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2, 비상벨13"
restsa10_0008,Y,가양역 화장실(9호선),정시,,강서구, 양천로 지하485,강서구 가양동,,KOR,126.8543739,37.56155032,1,#0000FF,L,0,02-901-0907,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2, 비상벨13"
restsa10_0007,Y,양천향교역 화장실(9호선),정시,,강서구,양천로 지하341,강서구 가양동,,KOR,126.8408041,37.56875877,1,#0000FF,L,0,02-901-0906,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2, 비상벨13"
restsa10_0006,Y,마곡나루역 화장실(9호선),정시,,강서구,마곡중앙5로 지하2,강서구 마곡동 367-6,,KOR,126.8271572,37.5667454,1,#0000ff,L,0,02-901-0905,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨11"
restsa10_0005,Y,신방화역 화장실(9호선),정시,,강서구,방화대로 지하301,강서구 방화동,,KOR,126.8165093,37.56768,1,#0000FF,L,0,02-901-0904,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨13"
restsa10_0004,Y,공항시장역 화장실(9호선),정시,,강서구,방화동로 지하30,강서구 공항동,,KOR,126.8104771,37.56355296,1,#0000FF,L,0,02-901-0903,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨11"
restsa10_0003,Y,김포공항역 화장실(9호선외측),정시,,강서구,하늘길 지하77,강서구 방화동,,KOR,126.801554,37.56214243,1,#0000FF,L,0,02-901-0902,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨25"
restsa10_0002,Y,김포공항역 화장실(9호선내측),정시,,강서구,하늘길 지하77,강서구 방화동,,KOR,126.801554,37.56214243,1,#0000FF,L,0,02-901-0902,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨25"
restsa10_0001,Y,개화역 화장실(9호선),정시,,강서구,개화동로8길 38,강서구 개화동,,KOR,126.7966219,37.58096961,1,#0000FF,L,0,02-2656-0901,,,,,,,,,공공개방,상시(연중 개방),지하철,,"남1, 여1","손건조기2,비상벨13"
restsa09_0138,Y,남태령역,정시,,서초구,과천대로 지하 816,서초구 방배동,,KOR,126.988638,37.46485321,1,#0000FF,L,,02-6110-4341,,,,,,,,,공공개방,"평일 05:30~00:57
토요일 및 공휴일 05:30~00:03",지하철,,"남1,여1",기저귀교환대2유아용보호의자2비상벨5손건조기2
restsa09_0137,Y,사당(4)역,정시,,동작구,동작대로 지하3,동작구 사당동 588-44,,KOR,126.9815755,37.47685903,1,#0000ff,L,0,02-6110-4331,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자1비상벨10손건조기3
restsa09_0136,Y,사당(4)역,정시,,동작구,동작대로 지하3,동작구 사당동 588-44,,KOR,126.9815755,37.47685903,1,#0000ff,L,0,02-6110-4331,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대3유아용보호의자3비상벨12손건조기6
restsa09_0135,Y,사당(4)역,정시,,동작구,동작대로 지하3,동작구 사당동 588-44,,KOR,126.9815755,37.47685903,1,#0000ff,L,0,02-6110-4331,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대3유아용보호의자4비상벨8손건조기6
restsa09_0134,Y,총신대입구역,정시,,동작구,동작대로 지하117,동작구 사당동 134-1,,KOR,126.9821553,37.48755085,1,#0000FF,L,0,02-6110-1460,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대3유아용보호의자2비상벨4손건조기3
restsa09_0133,Y,동작역,정시,,동작구, 현충로 257,동작구 동작동,,KOR,126.9802508,37.50286533,1,#0000FF,L,0,02-6110-4311,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대2유아용보호의자2비상벨19손건조기6
restsa09_0132,Y,이촌역,정시,,용산구, 서빙고로 지하 83,용산구 용산동5가 17-32,,KOR,126.9736669,37.52251303,1,#0000FF,L,0,02-6110-4301,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대4유아용보호의자4비상벨14손건조기6
restsa09_0131,Y,신용산역,정시,,용산구,한강대로 지하 112,용산구 한강로2가 174-4,,KOR,126.9687527,37.52971324,1,#0000FF,L,0,02-6110-4291,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자0비상벨8손건조기3
restsa09_0130,Y,삼각지역,정시,,용산구, 한강대로 180 지하 1층 ,용산구 한강로1가 278-2,,KOR,126.9729957,37.53458755,1,#0000FF,L,0,02-6110-4281,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대4유아용보호의자4비상벨11손건조기4
restsa09_0129,Y,숙대입구역,정시,,용산구, 한강대로 지하 306,용산구 갈월동 68,,KOR,126.9722137,37.5455004,1,#0000FF,L,0,02-6110-4271,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대3유아용보호의자0비상벨14손건조기6
restsa09_0128,Y,서울(4)역,정시,,용산구, 한강대로 지하 392,용산구 동자동 14-149,,KOR,126.9727865,37.55319403,1,#0000FF,L,0,02-6110-4261,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자1비상벨4손건조기2
restsa09_0127,Y,회현역,정시,,중구, 퇴계로 지하 54,중구 남창동 123-1,,KOR,126.9782226,37.55852802,1,#0000FF,L,0,02-6110-4251,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대4유아용보호의자2비상벨12손건조기6
restsa09_0126,Y,명동역,정시,,중구,퇴계로 지하 126,중구 충무로2가,,KOR,126.9859321,37.56090271,1,#0000ff,L,0,02-6110-4241,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자1비상벨10손건조기4
restsa09_0125,Y,충무로역,정시,,중구, 퇴계로 199 지하 1층 ,중구 필동2가 16-27,,KOR,126.9940941,37.56116579,1,#0000FF,L,0,02-6110-4231,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대1유아용보호의자1비상벨20손건조기6
restsa09_0124,Y,동대문역사문화공원(4)역,정시,,중구,장충단로 지하 230,중구 을지로7가 99-5,,KOR,127.0075367,37.56507164,1,#0000FF,L,0,02-6110-4221,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대4유아용보호의자2비상벨14손건조기6
restsa09_0123,Y,동대문역사문화공원(4)역,정시,,중구,장충단로 지하 230,중구 을지로7가 99-5,,KOR,127.0075367,37.56507164,1,#0000FF,L,0,02-6110-4221,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대4유아용보호의자2비상벨14손건조기6
restsa09_0122,Y,동대문(4)역,정시,,종로구,율곡로 지하308,종로구 종로6가,,KOR,127.00953,37.57040494,1,#0000FF,L,0,02-6110-4211,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자1비상벨6손건조기3
restsa09_0121,Y,혜화역,정시,,종로구,대명길 3길,종로구 동숭동 67-6,,KOR,127.0019,37.5820877,1,#0000ff,L,0,02-6110-4201,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대3유아용보호의자4비상벨12손건조기6
restsa09_0120,Y,한성대역,정시,,성북구,삼선교로 지하 1번지,성북구 성북동1가 50-3,,KOR,127.005935,37.58838954,1,#0000FF,L,0,02-6110-4191,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자1비상벨7손건조기3
restsa09_0119,Y,성신여대역,정시,,성북구, 동소문로 지하 102,성북구 동선동1가 101-7,,KOR,127.0164986,37.59258601,1,#0000FF,L,0,02-6110-4181,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대4유아용보호의자4비상벨15손건조기4
restsa09_0118,Y,길음역,정시,,성북구,동소문로 248 지하1층,성북구 길음동 1276-2,,KOR,127.0248065,37.60317717,1,#0000FF,L,0,02-6110-4171,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대3유아용보호의자3비상벨17손건조기6
restsa09_0114,Y,쌍문역,정시,,도봉구,도봉로 지하 486-1,도봉구 창동,,KOR,127.0348637,37.64884492,1,#0000FF,L,0,02-6110-4131,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대0유아용보호의자1비상벨7손건조기3
restsa09_0113,Y,창동역,정시,,도봉구, 마들로 11길 77번지 ,도봉구 창동,,KOR,127.0481156,37.65322331,1,#0000FF,L,0,02-6110-4121,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대2유아용보호의자3비상벨19손건조기6
restsa09_0112,Y,노원역,정시,,노원구,상계로 69-1,노원구 상계동 597-1,,KOR,127.0630102,37.65626729,1,#0000FF,L,0,02-6110-4111,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대4유아용보호의자4비상벨18손건조기6
restsa09_0111,Y,상계역,정시,,노원구,상계로 182,노원구 상계동 156-203,,KOR,127.0735903,37.66094524,1,#0000FF,L,0,02-6110-4101,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대3유아용보호의자4비상벨10손건조기5
restsa09_0110,Y,당고개역,정시,,노원구,상계로 305,노원구 상계동 65-48,,KOR,127.0789943,37.67028796,1,#0000FF,L,0,02-6110-4091,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자0비상벨8손건조기3
restsa09_0109,Y,당고개역,정시,,노원구, 상계로 305,노원구 상계동 65-48,,KOR,127.0789943,37.67028796,1,#0000FF,L,0,02-6110-4091,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대3유아용보호의자3비상벨6손건조기4
restsa09_0108,Y,오금역,정시,,송파구,오금로 지하 321,송파구 오금동,,KOR,127.1278649,37.50226629,1,#0000FF,L,0,02-6110-3521,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대1유아용보호의자0비상벨14손건조기2
restsa09_0107,Y,오금역,정시,,송파구,오금로 지하 321,송파구 오금동,,KOR,127.1278649,37.50226629,1,#0000FF,L,0,02-6110-3521,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대1유아용보호의자0비상벨3손건조기2
restsa09_0106,Y,경찰병원역,정시,,송파구,중대로 지하 149,송파구 가락동,,KOR,127.1240525,37.49560118,1,#0000FF,L,0,02-6110-3511,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대1유아용보호의자1비상벨14손건조기2
restsa09_0105,Y,경찰병원역,정시,,송파구,중대로 지하 149,송파구 가락동,,KOR,127.1240525,37.49560118,1,#0000FF,L,0,02-6110-3511,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대1유아용보호의자1비상벨4손건조기2
restsa09_0104,Y,가락시장역,정시,,송파구,송파대로 지하 257,송파구 가락동,,KOR,127.1184716,37.49274221,1,#0000FF,L,0,02-6110-3501,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대2유아용보호의자0비상벨11손건조기2
restsa09_0103,Y,가락시장역,정시,,송파구,송파대로 지하 257,송파구 가락동,,KOR,127.1184716,37.49274221,1,#0000FF,L,0,02-6110-3501,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대2유아용보호의자0비상벨6손건조기2
restsa09_0102,Y,수서역,정시,,강남구, 광평로 지하 270 ,강남구 수서동,,KOR,127.101847,37.48738444,1,#0000FF,L,0,02-6110-3491,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대2유아용보호의자2비상벨10손건조기6
restsa09_0101,Y,일원역,정시,,강남구,일원로 지하 121,강남구 일원동 717,,KOR,127.0844392,37.48406907,1,#0000FF,L,0,02-6110-3481,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자1비상벨6손건조기3
restsa09_0100,Y,대청역,정시,,강남구,일원로 지하 2,강남구 일원동 700-9,,KOR,127.079481,37.49371823,1,#0000FF,L,0,02-6110-3471,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자0비상벨6손건조기3
restsa09_0099,Y,학여울역,정시,,강남구,남부순환로 지하 3104,강남구 대치동 514-3,,KOR,127.0717044,37.4967138,1,#0000FF,L,0,02-6110-3461,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자0비상벨7손건조기3
restsa09_0098,Y,대치역,정시,,강남구,남부순환로 지하 2952,강남구 대치동 317-3,,KOR,127.0634126,37.494559,1,#0000FF,L,0,02-6110-3451,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자0비상벨7손건조기3
restsa09_0097,Y,도곡역,정시,,강남구,남부순환로 지하 2814,강남구 도곡동,,KOR,127.0553044,37.49086278,1,#0000FF,L,0,02-6110-3441,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자0비상벨7손건조기3
restsa09_0096,Y,매봉역,정시,,강남구, 남부순환로 지하 2744,강남구 도곡동 179-2,,KOR,127.0465969,37.48695614,1,#0000FF,L,0,02-6110-3431,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자1비상벨7손건조기2
restsa09_0095,Y,양재역,정시,,서초구,남부순환로 지하 2585,서초구 양재동,,KOR,127.0345281,37.48392983,1,#0000FF,L,,02-6110-3421,,,,,,,,,공공개방,"평일 05:28~00:56
토요일 및 공휴일 05:29~00:00",지하철,,공용1,기저귀교환대1유아용보호의자1비상벨4손건조기3
restsa09_0094,Y,남부터미널역,정시,,서초구,서초중앙로 지하 31,서초구 서초동,,KOR,127.0161906,37.48513563,1,#0000FF,L,,02-6110-3411,,,,,,,,,,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대2유아용보호의자3비상벨10손건조기6
restsa09_0093,Y,교대역(3호선),정시,,서초구,서초대로 지하 294,서초구 서초동 1672-3,,KOR,127.0140753,37.49360897,1,#0000FF,L,,02-6110-3401,,,,,,,,,,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대4유아용보호의자3비상벨16손건조기2
restsa09_0092,Y,잠원역,정시,,서초구,잠원로 지하 46,서초구 잠원동,,KOR,127.0115199,37.5128996,1,#0000ff,L,,02-6110-3381,,,,,,,,,,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자1비상벨6손건조기3
restsa09_0091,Y,신사역,정시,,강남구,도산대로 지하 102,강남구 논현동,,KOR,127.0203117,37.51642867,1,#0000FF,L,0,02-6110-3371,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대3유아용보호의자3비상벨10손건조기6
restsa09_0090,Y,압구정역,정시,,강남구,압구정로 지하 172,강남구 신사동 610-13,,KOR,127.0284612,37.52642537,1,#0000FF,L,0,02-6110-3361,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대2유아용보호의자2비상벨11손건조기6
restsa09_0089,Y,옥수역,정시,,성동구,동호로 21,성동구 옥수동 78-2,,KOR,127.0183126,37.54104162,1,#0000FF,L,0,02-6110-3351,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대0유아용보호의자0비상벨0손건조기0
restsa09_0088,Y,옥수역,정시,,성동구,동호로 21,성동구 옥수동 78-2,,KOR,127.0183126,37.54104162,1,#0000FF,L,0,02-6110-3351,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자1비상벨3손건조기3
restsa09_0087,Y,옥수역,정시,,성동구,동호로 21,성동구 옥수동 78-2,,KOR,127.0183126,37.54104162,1,#0000FF,L,0,02-6110-3351,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자1비상벨7손건조기3
restsa09_0086,Y,금호역,정시,,성동구,동호로 지하 104,성동구 금호동4가 1470-1,,KOR,127.0158774,37.54810749,1,#0000FF,L,0,02-6110-3341,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대3유아용보호의자1비상벨7손건조기4
restsa09_0085,Y,약수역,정시,,중구,다산로 지하 122,중구 신당동 369-44,,KOR,127.0108054,37.55455141,1,#0000FF,L,0,02-6110-3331,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대2유아용보호의자2비상벨11손건조기4
restsa09_0084,Y,동대입구역,정시,,중구,동호로 지하 256,중구 장충동2가-1,,KOR,127.0054424,37.55902348,1,#0000FF,L,0,02-6110-3321,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,"남1,여1",기저귀교환대4유아용보호의자4비상벨10손건조기5
restsa09_0083,Y,을지로3가역,정시,,중구,지하 129,중구 을지로3가,,KOR,126.9926235,37.5663242,1,#0000ff,L,0,02-6110-3301,,,,,,,,,공공개방,"정시
(영업시작~종료)",지하철,,공용1,기저귀교환대1유아용보호의자1비상벨4손건조기3
